iter	Passed	Remaining
0	9	9598
1	18	9431
2	27	9265
3	38	9501
4	47	9463
5	56	9398
6	65	9360
7	76	9426
8	84	9330
9	93	9293
10	103	9306
11	111	9198
12	121	9190
13	130	9170
14	139	9154
15	150	9240
16	159	9227
17	169	9223
18	178	9211
19	187	9166
20	196	9140
21	205	9152
22	214	9124
23	222	9066
24	232	9058
25	241	9051
26	250	9044
27	258	8986
28	268	8979
29	276	8950
30	285	8924
31	294	8918
32	303	8881
33	311	8849
34	320	8843
35	329	8817
36	338	8804
37	346	8770
38	354	8723
39	362	8706
40	371	8699
41	381	8692
42	388	8654
43	397	8626
44	405	8612
45	414	8587
46	423	8594
47	432	8573
48	441	8575
49	449	8547
50	458	8524
51	467	8524
52	476	8517
53	486	8519
54	494	8497
55	502	8463
56	511	8454
57	519	8438
58	529	8442
59	537	8423
60	546	8411
61	555	8411
62	564	8390
63	574	8398
64	582	8382
65	592	8387
66	600	8363
67	608	8345
68	617	8338
69	626	8318
70	634	8305
71	643	8294
72	651	8270
73	658	8245
74	667	8234
75	675	8207
76	684	8208
77	693	8199
78	702	8190
79	712	8190
80	720	8171
81	728	8152
82	736	8137
83	744	8123
84	752	8102
85	761	8096
86	770	8087
87	779	8074
88	789	8083
89	799	8087
90	807	8064
91	815	8048
92	823	8035
93	833	8033
94	841	8016
95	849	8002
96	858	7996
97	867	7988
98	876	7977
99	885	7969
100	893	7949
101	900	7928
102	910	7926
103	918	7914
104	927	7909
105	938	7912
106	947	7907
107	956	7896
108	964	7882
109	972	7865
110	982	7871
111	990	7857
112	999	7843
113	1007	7831
114	1016	7823
115	1024	7807
116	1033	7799
117	1041	7786
118	1050	7779
119	1059	7767
120	1068	7763
121	1078	7761
122	1085	7743
123	1094	7732
124	1102	7718
125	1112	7716
126	1121	7708
127	1130	7701
128	1139	7694
129	1148	7686
130	1159	7688
131	1168	7684
132	1179	7687
133	1189	7685
134	1197	7673
135	1206	7665
136	1216	7660
137	1225	7651
138	1236	7657
139	1244	7647
140	1254	7643
141	1263	7637
142	1272	7628
143	1282	7623
144	1291	7616
145	1301	7613
146	1311	7611
147	1320	7603
148	1330	7601
149	1339	7590
150	1347	7577
151	1357	7572
152	1366	7563
153	1375	7557
154	1385	7551
155	1394	7543
156	1402	7531
157	1412	7527
158	1423	7529
159	1433	7525
160	1441	7512
161	1450	7504
162	1459	7493
163	1468	7487
164	1477	7477
